name,team,position,age,height,weight,bmi,spike_height,block_height,total_selections,is_captain,score_rank,attacks,blocks,serves,total_score,digs_per_set,sets_per_set,attack_success_rate
Michelle Bartsch-Hackley,USA,Outside Hitter,29,190,78,21.6,305,296,106,0,65,76,7,13,96,0.99,0.01,
Mikaela Foecke,USA,Outside Hitter,22,191,79,21.7,302,295,0,0,78,75,3,5,83,0.97,0.01,
Mila Djordjevic,SRB,Setter,21,180,58,17.9,290,280,0,0,174,6,7,5,18,0.53,1.11,
Milica Kubura,SRB,Opposite Spiker,24,192,77,20.9,297,280,23,0,87,65,3,3,71,0.79,0.04,
Milka Marcília Medeiros Silva,BRA,Middle Blocker,25,190,75,20.8,307,291,0,0,232,2,0,0,2,0,0,
Mina Popovic,SRB,Middle Blocker,25,187,73,20.9,315,305,83,0,96,45,9,11,65,0.32,0.02,
Mingyuan Hu,CHN,Middle Blocker,23,187,69,19.7,305,297,12,0,101,42,14,6,62,0.29,0,
Mira Todorova,BUL,Middle Blocker,25,187,73,20.9,312,300,0,0,53,69,31,8,108,0.56,0.02,
Mirela Shahpazova,BUL,Setter,22,175,65,21.2,280,270,16,0,,,,,15,1,0.02,
Miroslava Paskova,BUL,Outside Hitter,23,180,67,20.7,299,280,0,0,19,154,9,9,172,2.65,0.09,32.98
Miryam Fatime Sylla,ITA,Outside Hitter,24,184,80,23.6,320,240,133,0,76,73,5,5,83,0.48,0,
Miwako Osanai,JPN,Outside Hitter,22,175,67,21.9,293,270,26,0,132,38,0,1,39,0.69,0,
Miya Sato,JPN,Setter,29,175,61,19.9,278,275,64,0,197,1,3,7,11,1.67,5.83,
Miyu Nakagawa,JPN,Opposite Spiker,19,180,65,20.1,307,300,20,0,165,17,1,3,21,0.5,0.04,
Monica De Gennaro,ITA,Libero,32,174,67,22.1,280,260,270,0,,,,,21,2.46,0.16,
Monika Galkowska,POL,Opposite Spiker,23,185,70,20.5,302,287,41,0,229,3,0,0,3,0.01,0,
Monika Jagla,POL,Libero,19,177,69,22,298,285,0,0,,,,,21,0.18,0,
Myrthe Schoot,NED,Libero,31,182,70,21.1,298,286,325,0,,,,,21,1.63,0.02,
Nana Iwasaka,JPN,Middle Blocker,29,187,76,21.7,298,293,167,1,118,32,12,6,50,0.41,0.07,
Nanami Seki,JPN,Setter,20,170,58,20.1,282,280,34,0,203,4,0,4,8,0.28,1.24,
Nasya Dimitrova,BUL,Middle Blocker,27,190,70,19.4,305,290,0,0,37,92,31,6,129,0.89,0.06,
Natalia Medrzyk,POL,Outside Hitter,27,183,73,21.8,305,287,70,0,24,128,12,8,148,1.85,0.03,37.54
Natalia Pereira,BRA,Outside Hitter,30,186,83,24,311,295,10,1,58,82,16,5,103,0.88,0.01,
Natalie Wilczek,GER,Middle Blocker,19,187,73,20.9,322,312,0,0,227,0,3,0,3,0.08,0,
Nathalie Lemmens,BEL,Middle Blocker,24,192,85,23.1,292,292,83,0,186,7,4,2,13,0.04,0.02,
Natália Araujo,BRA,Libero,22,162,59,22.5,228,215,0,0,,,,,21,0.3,0,
Nele Barber,GER,Outside Hitter,25,183,55,16.4,290,280,0,0,106,50,6,4,60,0.55,0.02,
Ni Yan,CHN,Middle Blocker,32,192,74,20.1,317,306,99,0,121,29,16,2,47,0.17,0,
Nicole Koolhaas,NED,Middle Blocker,28,198,77,19.6,310,300,223,0,119,30,17,3,50,0.19,0.04,
Nicole Oude Luttikhuis,NED,Outside Hitter,22,191,82,22.5,312,305,72,0,73,64,9,14,87,0.84,0.04,
Nika Daalderop,NED,Outside Hitter,21,189,72,20.2,317,308,69,0,103,56,4,2,62,0.46,0,
Niverka Dharlenis Marte Frica,DOM,Setter,29,178,71,22.4,295,283,105,0,138,18,9,8,35,1.78,4.72,
Nootsara Tomkom,THA,Setter,34,169,56,19.6,289,278,59,1,169,13,1,6,20,2.5,6.68,
Ofelia Malinov,ITA,Setter,23,182,70,21.1,304,286,168,0,115,30,21,2,53,1.84,4.22,
Olga Zubareva,RUS,Middle Blocker,21,189,74,20.7,305,297,0,0,217,2,2,1,5,0.04,0,
Olivia Rozanski,POL,Outside Hitter,22,185,74,21.6,315,300,17,0,211,4,2,0,6,0.03,0,
Onuma Sittirak,THA,Outside Hitter,33,175,77,25.1,304,285,46,0,51,103,5,4,112,1.42,0.18,33.55
Paola Ogechi Egonu,ITA,Opposite Spiker,21,193,74,19.9,344,321,139,0,17,143,18,18,179,0.43,0.03,
Paulina Maj-Erwardt,POL,Libero,32,166,58,21,277,255,108,0,,,,,21,1.03,0.01,
Petya Barakova,BUL,Setter,25,180,76,23.5,283,271,0,0,167,7,5,8,20,1.67,3.89,
Pia Kästner,GER,Setter,21,182,68,20.5,297,286,6,0,170,14,2,3,19,0.55,2.11,
Piyanut Pannoy,THA,Libero,30,170,63,21.8,280,275,28,0,,,,,21,1.68,0.26,
Pleumjit Thinkaow,THA,Middle Blocker,36,180,67,20.7,303,283,72,0,39,99,19,11,129,0.42,0.2,
Polina Matveeva,RUS,Setter,17,194,74,19.7,300,281,4,0,206,5,2,0,7,0.24,0.54,
Prisilla Rivera Brens,DOM,Outside Hitter,35,186,67,19.4,309,305,156,1,69,74,14,1,89,1.25,0.03,
Qingqing Du,CHN,Opposite Spiker,23,189,72,20.2,312,300,0,0,178,11,1,4,16,0.2,0.02,
Risa Shinnabe,JPN,Outside Hitter,29,175,64,20.9,293,285,192,0,70,75,3,11,89,1.74,0.07,
Roberta Silva Ratzke,BRA,Setter,29,185,71,20.7,287,278,0,0,176,5,1,10,16,0.56,1.32,
Sara Alberti,ITA,Outside Hitter,26,185,72,21,310,300,5,0,125,33,9,4,46,0.3,0,
Sara Lozo,SRB,Opposite Spiker,22,186,61,17.6,295,290,44,0,72,79,5,4,88,1.13,0.06,
Sarah Luisa Fahr,ITA,Middle Blocker,18,192,90,24.4,322,306,77,0,75,55,20,9,84,0.31,0.01,
Sarah Van Aalen,NED,Setter,19,183,68,20.3,300,293,9,0,236,0,2,0,2,0.12,0.6,
Sarah Wilhite,USA,Outside Hitter,24,185,75,21.9,305,300,59,0,131,29,6,6,41,0.36,0,
Sarina Koga,JPN,Outside Hitter,23,180,66,20.4,307,290,153,0,102,59,1,2,62,0.63,0.02,
Selma Hetmann,GER,Middle Blocker,24,188,70,19.8,325,315,0,0,238,1,0,0,1,0,0,
Seungju Pyo,KOR,Outside Hitter,27,182,76,22.9,275,260,43,0,50,100,6,7,113,1.36,0.08,36.23
Seyma Ercan,TUR,Outside Hitter,25,187,73,20.9,305,294,105,0,114,43,3,8,54,0.81,0.01,
Silke Van Avermaet,BEL,Middle Blocker,20,192,76,20.6,314,298,35,0,143,17,8,7,32,0.23,0.02,
Silvana Chausheva,BUL,Outside Hitter,24,188,75,21.2,305,290,0,0,61,86,9,5,100,1.02,0.07,
Simge Sebnem Akoz,TUR,Libero,28,168,56,19.8,250,245,34,0,,,,,21,2.47,0.12,
Simona Dimitrova,BUL,Outside Hitter,25,185,82,24,290,280,0,0,110,45,5,5,55,0.83,0.04,
Simone Lee,USA,Outside Hitter,23,186,70,20.2,310,305,10,0,179,16,0,0,16,0.1,0,
Sladjana Mirkovic,SRB,Setter,24,185,78,22.8,293,283,83,0,173,6,3,9,18,0.89,2.17,
Sofya Kuznetsova,RUS,Outside Hitter,20,182,65,19.6,300,295,0,0,188,11,2,0,13,0.07,0.04,
